2017-05-12 12:37:15.373361 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] Populating workers...
2017-05-12 12:37:15.373831 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] Populated
2017-05-12 12:38:29.839195 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #0 | Training started
2017-05-12 12:38:31.911284 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #0 | Training finished
2017-05-12 12:38:31.911878 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #1 | Training started
2017-05-12 12:38:33.630274 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #1 | Training finished
2017-05-12 12:38:33.630862 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #2 | Training started
2017-05-12 12:38:35.337874 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #2 | Training finished
2017-05-12 12:38:35.338446 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #3 | Training started
2017-05-12 12:38:36.840733 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #3 | Training finished
2017-05-12 12:38:37.153285 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #4 | Training started
2017-05-12 12:38:38.811199 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #4 | Training finished
2017-05-12 12:38:38.811788 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #5 | Training started
2017-05-12 12:38:40.141480 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #5 | Training finished
2017-05-12 12:38:40.141855 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #6 | Training started
2017-05-12 12:38:41.416658 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #6 | Training finished
2017-05-12 12:38:41.417167 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #7 | Training started
2017-05-12 12:38:42.865933 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #7 | Training finished
2017-05-12 12:38:42.866490 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #8 | Training started
2017-05-12 12:38:44.615763 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #8 | Training finished
2017-05-12 12:38:44.616201 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #9 | Training started
2017-05-12 12:38:46.213566 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #9 | Training finished
2017-05-12 12:38:46.214033 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #9 | Collecting samples for evaluation
2017-05-12 12:39:04.170403 EDT | -----------------------  ------------
2017-05-12 12:39:33.225163 EDT | AverageY                  0.0229291
2017-05-12 12:39:33.228497 EDT | AverageAbsY               0.0232484
2017-05-12 12:39:33.231048 EDT | AverageAbsQYDiff          0.00740367
2017-05-12 12:39:33.233163 EDT | AverageAction             0.878845
2017-05-12 12:39:33.234955 EDT | PolicyRegParamNorm       14.653
2017-05-12 12:39:33.236769 EDT | QFunRegParamNorm          8.19196
2017-05-12 12:39:33.237619 EDT | AverageForwardProgress    0.000196145
2017-05-12 12:39:33.238878 EDT | MaxForwardProgress        0.0266467
2017-05-12 12:39:33.240084 EDT | MinForwardProgress       -0.0344009
2017-05-12 12:39:33.241087 EDT | StdForwardProgress        0.00811745
2017-05-12 12:39:33.242034 EDT | -----------------------  ------------
2017-05-12 12:39:33.244232 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #11 | Training started
2017-05-12 12:39:44.595011 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #11 | Training finished
2017-05-12 12:39:45.019353 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #11 | Collecting samples for evaluation
2017-05-12 12:40:01.705850 EDT | -----------------------  ------------
2017-05-12 12:40:01.706669 EDT | Epoch                    11
2017-05-12 12:40:01.707322 EDT | AverageReturn             4.32703
2017-05-12 12:40:01.707861 EDT | StdReturn                 0.42544
2017-05-12 12:40:01.708445 EDT | MaxReturn                 6.64631
2017-05-12 12:40:01.709028 EDT | MinReturn                 2.62161
2017-05-12 12:40:01.709675 EDT | AverageEsReturn           4.82735
2017-05-12 12:40:01.710426 EDT | StdEsReturn               1.30097
2017-05-12 12:40:01.711012 EDT | MaxEsReturn              14.7017
2017-05-12 12:40:01.711438 EDT | MinEsReturn               2.86423
2017-05-12 12:40:01.712057 EDT | AverageDiscountedReturn   4.25882
2017-05-12 12:40:01.712553 EDT | AverageQLoss              4.35004e-05
2017-05-12 12:40:01.714317 EDT | AveragePolicySurr        -0.0359451
2017-05-12 12:40:01.716711 EDT | AverageQ                  0.0327752
2017-05-12 12:40:01.717855 EDT | AverageAbsQ               0.0327989
2017-05-12 12:40:01.718288 EDT | AverageY                  0.0328007
2017-05-12 12:40:01.718716 EDT | AverageAbsY               0.0328023
2017-05-12 12:40:01.719137 EDT | AverageAbsQYDiff          0.00467128
2017-05-12 12:40:01.719562 EDT | AverageAction             0.902268
2017-05-12 12:40:01.720001 EDT | PolicyRegParamNorm       14.9263
2017-05-12 12:40:01.720427 EDT | QFunRegParamNorm          8.77744
2017-05-12 12:40:01.720856 EDT | AverageForwardProgress    0.00190328
2017-05-12 12:40:01.721287 EDT | MaxForwardProgress        0.0249536
2017-05-12 12:40:01.721745 EDT | MinForwardProgress       -0.0283595
2017-05-12 12:40:01.722242 EDT | StdForwardProgress        0.00723825
2017-05-12 12:40:01.727251 EDT | -----------------------  ------------
2017-05-12 12:40:01.728121 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #12 | Training started
2017-05-12 12:40:14.209769 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #12 | Training finished
2017-05-12 12:40:14.493735 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #12 | Collecting samples for evaluation
2017-05-12 12:40:32.522048 EDT | -----------------------  -----------
2017-05-12 12:40:32.954586 EDT | Epoch                    12
2017-05-12 12:40:32.955543 EDT | AverageReturn             4.33108
2017-05-12 12:40:32.955989 EDT | StdReturn                 0.407342
2017-05-12 12:40:32.956416 EDT | MaxReturn                 6.43363
2017-05-12 12:40:32.956840 EDT | MinReturn                 2.97793
2017-05-12 12:40:32.957260 EDT | AverageEsReturn           4.65872
2017-05-12 12:40:32.957676 EDT | StdEsReturn               0.925539
2017-05-12 12:40:32.958105 EDT | MaxEsReturn              11.3598
2017-05-12 12:40:32.958521 EDT | MinEsReturn               3.19756
2017-05-12 12:40:32.958939 EDT | AverageDiscountedReturn   4.26288
2017-05-12 12:40:32.959367 EDT | AverageQLoss              4.1447e-05
2017-05-12 12:40:32.959782 EDT | AveragePolicySurr        -0.043299
2017-05-12 12:40:32.960199 EDT | AverageQ                  0.040134
2017-05-12 12:40:32.960619 EDT | AverageAbsQ               0.0401747
2017-05-12 12:40:32.961031 EDT | AverageY                  0.040146
2017-05-12 12:40:32.961452 EDT | AverageAbsY               0.040146
2017-05-12 12:40:32.961879 EDT | AverageAbsQYDiff          0.00430862
2017-05-12 12:40:32.962291 EDT | AverageAction             0.971002
2017-05-12 12:40:32.962705 EDT | PolicyRegParamNorm       15.0855
2017-05-12 12:40:32.963117 EDT | QFunRegParamNorm          9.47125
2017-05-12 12:40:32.963528 EDT | AverageForwardProgress    0.0020647
2017-05-12 12:40:32.963941 EDT | MaxForwardProgress        0.0247553
2017-05-12 12:40:32.964352 EDT | MinForwardProgress       -0.022561
2017-05-12 12:40:32.964726 EDT | StdForwardProgress        0.0071456
2017-05-12 12:40:32.965142 EDT | -----------------------  -----------
2017-05-12 12:40:32.965780 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #13 | Training started
2017-05-12 12:40:45.161733 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #13 | Training finished
2017-05-12 12:40:45.306413 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #13 | Collecting samples for evaluation
2017-05-12 12:41:04.919507 EDT | -----------------------  ------------
2017-05-12 12:41:05.364902 EDT | Epoch                    13
2017-05-12 12:41:05.365329 EDT | AverageReturn            15.3688
2017-05-12 12:41:05.365595 EDT | StdReturn                 4.03563
2017-05-12 12:41:05.365882 EDT | MaxReturn                33.601
2017-05-12 12:41:05.366136 EDT | MinReturn                 5.83789
2017-05-12 12:41:05.366389 EDT | AverageEsReturn           5.60323
2017-05-12 12:41:05.366639 EDT | StdEsReturn               4.32866
2017-05-12 12:41:05.366888 EDT | MaxEsReturn              40.5559
2017-05-12 12:41:05.367136 EDT | MinEsReturn               2.66628
2017-05-12 12:41:05.367388 EDT | AverageDiscountedReturn  14.2721
2017-05-12 12:41:05.367636 EDT | AverageQLoss              4.29369e-05
2017-05-12 12:41:05.367909 EDT | AveragePolicySurr        -0.0469781
2017-05-12 12:41:05.368182 EDT | AverageQ                  0.0443352
2017-05-12 12:41:05.368465 EDT | AverageAbsQ               0.0443879
2017-05-12 12:41:05.368729 EDT | AverageY                  0.0443407
2017-05-12 12:41:05.368977 EDT | AverageAbsY               0.0443407
2017-05-12 12:41:05.369222 EDT | AverageAbsQYDiff          0.00429967
2017-05-12 12:41:05.369481 EDT | AverageAction             0.94185
2017-05-12 12:41:05.369736 EDT | PolicyRegParamNorm       15.0997
2017-05-12 12:41:05.369987 EDT | QFunRegParamNorm         10.1274
2017-05-12 12:41:05.370233 EDT | AverageForwardProgress    0.025541
2017-05-12 12:41:05.370491 EDT | MaxForwardProgress        0.154002
2017-05-12 12:41:05.370778 EDT | MinForwardProgress       -0.0357541
2017-05-12 12:41:05.371045 EDT | StdForwardProgress        0.0228246
2017-05-12 12:41:05.371306 EDT | -----------------------  ------------
2017-05-12 12:41:05.371886 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #14 | Training started
2017-05-12 12:41:18.812978 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #14 | Training finished
2017-05-12 12:41:19.141076 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #14 | Collecting samples for evaluation
2017-05-12 12:41:41.250168 EDT | -----------------------  ------------
2017-05-12 12:41:41.582623 EDT | Epoch                    14
2017-05-12 12:41:41.583203 EDT | AverageReturn            14.7395
2017-05-12 12:41:41.583500 EDT | StdReturn                 4.44464
2017-05-12 12:41:41.583776 EDT | MaxReturn                36.7472
2017-05-12 12:41:41.584050 EDT | MinReturn                 8.25737
2017-05-12 12:41:41.584319 EDT | AverageEsReturn          18.1584
2017-05-12 12:41:41.584594 EDT | StdEsReturn              10.7317
2017-05-12 12:41:41.584861 EDT | MaxEsReturn              61.6014
2017-05-12 12:41:41.585130 EDT | MinEsReturn               5.77025
2017-05-12 12:41:41.585400 EDT | AverageDiscountedReturn  13.7119
2017-05-12 12:41:41.585681 EDT | AverageQLoss              5.44527e-05
2017-05-12 12:41:41.585968 EDT | AveragePolicySurr        -0.0591766
2017-05-12 12:41:41.586235 EDT | AverageQ                  0.0483723
2017-05-12 12:41:41.586501 EDT | AverageAbsQ               0.0484278
2017-05-12 12:41:41.586762 EDT | AverageY                  0.0483835
2017-05-12 12:41:41.587025 EDT | AverageAbsY               0.0483836
2017-05-12 12:41:41.587287 EDT | AverageAbsQYDiff          0.00472566
2017-05-12 12:41:41.587551 EDT | AverageAction             0.913251
2017-05-12 12:41:41.587814 EDT | PolicyRegParamNorm       15.1435
2017-05-12 12:41:41.588140 EDT | QFunRegParamNorm         10.7467
2017-05-12 12:41:41.588405 EDT | AverageForwardProgress    0.0209871
2017-05-12 12:41:41.588664 EDT | MaxForwardProgress        0.155217
2017-05-12 12:41:41.588926 EDT | MinForwardProgress       -0.0396663
2017-05-12 12:41:41.589189 EDT | StdForwardProgress        0.0255998
2017-05-12 12:41:41.589452 EDT | -----------------------  ------------
2017-05-12 12:41:41.705959 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #15 | Training started
2017-05-12 12:41:56.243299 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #15 | Training finished
2017-05-12 12:41:56.690644 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #15 | Collecting samples for evaluation
2017-05-12 12:42:15.631922 EDT | -----------------------  -----------
2017-05-12 12:42:15.781242 EDT | Epoch                    15
2017-05-12 12:42:15.781623 EDT | AverageReturn            70.0287
2017-05-12 12:42:15.781895 EDT | StdReturn                 3.61878
2017-05-12 12:42:15.782149 EDT | MaxReturn                78.8542
2017-05-12 12:42:15.782399 EDT | MinReturn                39.4419
2017-05-12 12:42:15.782647 EDT | AverageEsReturn          32.1868
2017-05-12 12:42:15.782895 EDT | StdEsReturn              20.9275
2017-05-12 12:42:15.783141 EDT | MaxEsReturn              74.0883
2017-05-12 12:42:15.783385 EDT | MinEsReturn               3.47462
2017-05-12 12:42:15.783628 EDT | AverageDiscountedReturn  55.5824
2017-05-12 12:42:15.783871 EDT | AverageQLoss              8.5764e-05
2017-05-12 12:42:15.784115 EDT | AveragePolicySurr        -0.0713204
2017-05-12 12:42:15.784359 EDT | AverageQ                  0.060859
2017-05-12 12:42:15.784602 EDT | AverageAbsQ               0.0609365
2017-05-12 12:42:15.784851 EDT | AverageY                  0.0608808
2017-05-12 12:42:15.785094 EDT | AverageAbsY               0.0608808
2017-05-12 12:42:15.785337 EDT | AverageAbsQYDiff          0.00584502
2017-05-12 12:42:15.785580 EDT | AverageAction             0.542185
2017-05-12 12:42:15.785834 EDT | PolicyRegParamNorm       15.4692
2017-05-12 12:42:15.786078 EDT | QFunRegParamNorm         11.6114
2017-05-12 12:42:15.786319 EDT | AverageForwardProgress    0.519778
2017-05-12 12:42:15.786560 EDT | MaxForwardProgress        0.593357
2017-05-12 12:42:15.786801 EDT | MinForwardProgress        0.209259
2017-05-12 12:42:15.787043 EDT | StdForwardProgress        0.0326072
2017-05-12 12:42:15.787285 EDT | -----------------------  -----------
2017-05-12 12:42:15.787723 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #16 | Training started
2017-05-12 12:42:28.094605 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #16 | Training finished
2017-05-12 12:42:28.095497 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #16 | Collecting samples for evaluation
2017-05-12 12:42:49.522124 EDT | -----------------------  -----------
2017-05-12 12:42:49.681358 EDT | Epoch                    16
2017-05-12 12:42:49.683674 EDT | AverageReturn            62.2575
2017-05-12 12:42:49.684387 EDT | StdReturn                10.9004
2017-05-12 12:42:49.685270 EDT | MaxReturn                72.2134
2017-05-12 12:42:49.685865 EDT | MinReturn                24.8304
2017-05-12 12:42:49.686340 EDT | AverageEsReturn          48.2145
2017-05-12 12:42:49.686777 EDT | StdEsReturn              20.4661
2017-05-12 12:42:49.687210 EDT | MaxEsReturn              72.7419
2017-05-12 12:42:49.687640 EDT | MinEsReturn               7.34043
2017-05-12 12:42:49.688072 EDT | AverageDiscountedReturn  50.1776
2017-05-12 12:42:49.688504 EDT | AverageQLoss              0.00012039
2017-05-12 12:42:49.688933 EDT | AveragePolicySurr        -0.0846652
2017-05-12 12:42:49.689359 EDT | AverageQ                  0.0728017
2017-05-12 12:42:49.689790 EDT | AverageAbsQ               0.0728992
2017-05-12 12:42:49.690212 EDT | AverageY                  0.0728178
2017-05-12 12:42:49.690704 EDT | AverageAbsY               0.0728178
2017-05-12 12:42:49.691131 EDT | AverageAbsQYDiff          0.00659771
2017-05-12 12:42:49.691555 EDT | AverageAction             0.705223
2017-05-12 12:42:49.691977 EDT | PolicyRegParamNorm       15.7747
2017-05-12 12:42:49.692399 EDT | QFunRegParamNorm         12.3546
2017-05-12 12:42:49.692824 EDT | AverageForwardProgress    0.436175
2017-05-12 12:42:49.693250 EDT | MaxForwardProgress        0.532012
2017-05-12 12:42:49.693672 EDT | MinForwardProgress        0.0623634
2017-05-12 12:42:49.694105 EDT | StdForwardProgress        0.107227
2017-05-12 12:42:49.694531 EDT | -----------------------  -----------
2017-05-12 12:42:49.695177 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #17 | Training started
2017-05-12 12:43:02.376775 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #17 | Training finished
2017-05-12 12:43:02.513910 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #17 | Collecting samples for evaluation
2017-05-12 12:43:18.811118 EDT | -----------------------  ------------
2017-05-12 12:43:18.815118 EDT | Epoch                    17
2017-05-12 12:43:18.815469 EDT | AverageReturn            64.9837
2017-05-12 12:43:18.815768 EDT | StdReturn                 7.99632
2017-05-12 12:43:18.816058 EDT | MaxReturn                71.7094
2017-05-12 12:43:18.816348 EDT | MinReturn                27.275
2017-05-12 12:43:18.816637 EDT | AverageEsReturn          39.0824
2017-05-12 12:43:18.816924 EDT | StdEsReturn              18.9003
2017-05-12 12:43:18.817209 EDT | MaxEsReturn              72.5117
2017-05-12 12:43:18.817492 EDT | MinEsReturn               8.58307
2017-05-12 12:43:18.817790 EDT | AverageDiscountedReturn  52.0557
2017-05-12 12:43:18.818075 EDT | AverageQLoss              0.000156942
2017-05-12 12:43:18.818357 EDT | AveragePolicySurr        -0.0973677
2017-05-12 12:43:18.818650 EDT | AverageQ                  0.084239
2017-05-12 12:43:18.818936 EDT | AverageAbsQ               0.0843469
2017-05-12 12:43:18.819219 EDT | AverageY                  0.0842641
2017-05-12 12:43:18.819501 EDT | AverageAbsY               0.0842641
2017-05-12 12:43:18.819782 EDT | AverageAbsQYDiff          0.00730393
2017-05-12 12:43:18.820062 EDT | AverageAction             0.710821
2017-05-12 12:43:18.820344 EDT | PolicyRegParamNorm       16.0453
2017-05-12 12:43:18.820623 EDT | QFunRegParamNorm         13.0975
2017-05-12 12:43:18.820902 EDT | AverageForwardProgress    0.459581
2017-05-12 12:43:18.821184 EDT | MaxForwardProgress        0.52837
2017-05-12 12:43:18.821463 EDT | MinForwardProgress        0.0782456
2017-05-12 12:43:18.822852 EDT | StdForwardProgress        0.0791497
2017-05-12 12:43:18.823177 EDT | -----------------------  ------------
2017-05-12 12:43:18.823673 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #18 | Training started
2017-05-12 12:43:31.579712 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #18 | Training finished
2017-05-12 12:43:31.674015 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #18 | Collecting samples for evaluation
2017-05-12 12:43:52.049199 EDT | -----------------------  ------------
2017-05-12 12:43:52.380941 EDT | Epoch                    18
2017-05-12 12:43:52.384030 EDT | AverageReturn            68.4167
2017-05-12 12:43:52.384553 EDT | StdReturn                 2.40842
2017-05-12 12:43:52.384993 EDT | MaxReturn                77.974
2017-05-12 12:43:52.385464 EDT | MinReturn                62.6276
2017-05-12 12:43:52.385970 EDT | AverageEsReturn          56.4421
2017-05-12 12:43:52.386451 EDT | StdEsReturn              17.5041
2017-05-12 12:43:52.386892 EDT | MaxEsReturn              72.8493
2017-05-12 12:43:52.387349 EDT | MinEsReturn              12.4559
2017-05-12 12:43:52.387829 EDT | AverageDiscountedReturn  54.5728
2017-05-12 12:43:52.388294 EDT | AverageQLoss              0.000191161
2017-05-12 12:43:52.388770 EDT | AveragePolicySurr        -0.109789
2017-05-12 12:43:52.389202 EDT | AverageQ                  0.096146
2017-05-12 12:43:52.389664 EDT | AverageAbsQ               0.0962829
2017-05-12 12:43:52.390149 EDT | AverageY                  0.0961742
2017-05-12 12:43:52.390617 EDT | AverageAbsY               0.0961742
2017-05-12 12:43:52.391044 EDT | AverageAbsQYDiff          0.0079769
2017-05-12 12:43:52.391489 EDT | AverageAction             0.656472
2017-05-12 12:43:52.391956 EDT | PolicyRegParamNorm       16.269
2017-05-12 12:43:52.392426 EDT | QFunRegParamNorm         13.712
2017-05-12 12:43:52.392891 EDT | AverageForwardProgress    0.502803
2017-05-12 12:43:52.393308 EDT | MaxForwardProgress        0.552782
2017-05-12 12:43:52.393799 EDT | MinForwardProgress        0.439408
2017-05-12 12:43:52.394253 EDT | StdForwardProgress        0.0210799
2017-05-12 12:43:52.394727 EDT | -----------------------  ------------
2017-05-12 12:43:52.395418 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #19 | Training started
2017-05-12 12:44:04.684707 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #19 | Training finished
2017-05-12 12:44:04.925799 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #19 | Collecting samples for evaluation
2017-05-12 12:44:20.270526 EDT | -----------------------  -----------
2017-05-12 12:44:20.366977 EDT | Epoch                    19
2017-05-12 12:44:20.367497 EDT | AverageReturn            67.9197
